segment;expected;rank;hypothesis;codepoint;distance;similarity
3;Н;19;Ш;U+0428;1.05315125;0.48705618
3;Н;20;Э;U+042D;1.06722529;0.48374021
3;Н;21;Л;U+041B;1.06970904;0.48315970
3;Н;22;Й;U+0419;1.08139503;0.48044700
3;Н;23;Е;U+0415;1.08668643;0.47922869
3;Н;24;Д;U+0414;1.09848518;0.47653422
3;Н;25;И;U+0418;1.10102942;0.47595716
3;Н;26;С;U+0421;1.10432144;0.47521257
3;Н;27;Г;U+0413;1.12994947;0.46949471
3;Н;28;З;U+0417;1.18767069;0.45710719
3;Н;29;Ф;U+0424;1.18915992;0.45679623
3;Н;30;Ё;U+0401;1.18931482;0.45676391
3;Н;31;М;U+041C;1.23695243;0.44703678
3;Н;32;Ъ;U+042A;1.33683952;0.42792840
3;Н;33;К;U+041A;1.41897730;0.41339784
3;Н;34;У;U+0423;1.45324421;0.40762350
3;Н;35;Ү;U+04AE;1.46953204;0.40493502
3;Н;36;Ұ;U+04B0;1.47018212;0.40482845
3;Н;37;Ғ;U+0492;1.47965417;0.40328204
3;Н;38;Т;U+0422;1.49621974;0.40060576
3;Н;39;А;U+0410;1.54413830;0.39306039
3;Н;40;І;U+0406;1.64808404;0.37763152
3;Н;41;Ж;U+0416;1.70480981;0.36971176
3;Н;42;Х;U+0425;1.85850683;0.34983299
4;С;1;С;U+0421;0.08879490;0.91844662
4;С;2;О;U+041E;0.58809402;0.62968564
4;С;3;Г;U+0413;0.71569338;0.58285473
4;С;4;Е;U+0415;0.72891008;0.57839908
4;С;5;Б;U+0411;0.72995805;0.57804870
4;С;6;Р;U+0420;0.74660637;0.57253885
4;С;7;З;U+0417;0.76116616;0.56780559
4;С;8;В;U+0412;0.79435627;0.55730292
4;С;9;Ь;U+042C;0.80916344;0.55274166
4;С;10;Ө;U+04E8;0.81659716;0.55047978
4;С;11;Э;U+042D;0.81872152;0.54983679
4;С;12;Ё;U+0401;0.82077362;0.54921709
4;С;13;Ә;U+04D8;0.83699928;0.54436603
4;С;14;Д;U+0414;0.90289324;0.52551556
4;С;15;У;U+0423;0.92942379;0.51828945
4;С;16;Қ;U+049A;0.93652563;0.51638872
4;С;17;Һ;U+04BA;0.94894598;0.51309785
4;С;18;Ю;U+042E;0.94958081;0.51293078
4;С;19;Ц;U+0426;0.97596294;0.50608237
4;С;20;Ғ;U+0492;0.98369041;0.50411092
4;С;21;П;U+041F;0.99185231;0.50204525
4;С;22;Ъ;U+042A;0.99799107;0.50050274
4;С;23;Я;U+042F;1.00607209;0.49848657
4;С;24;Т;U+0422;1.01044025;0.49740349
4;С;25;Ұ;U+04B0;1.02489163;0.49385359
4;С;26;Щ;U+0429;1.04837340;0.48819224
4;С;27;Ы;U+042B;1.05314263;0.48705822
4;С;28;Ң;U+04A2;1.05895946;0.48568222
4;С;29;Л;U+041B;1.07110126;0.48283492
4;С;30;Ч;U+0427;1.07765961;0.48131080
4;С;31;Н;U+041D;1.08576319;0.47944081
4;С;32;Ф;U+0424;1.08588320;0.47941323
4;С;33;Ү;U+04AE;1.09523287;0.47727392
4;С;34;І;U+0406;1.12646292;0.47026449
4;С;35;А;U+0410;1.13843668;0.46763134
4;С;36;Ш;U+0428;1.14894616;0.46534437
4;С;37;К;U+041A;1.32416397;0.43026224
4;С;38;Й;U+0419;1.38798715;0.41876272
4;С;39;Х;U+0425;1.41955430;0.41329926
4;С;40;Ж;U+0416;1.43918551;0.40997292
4;С;41;М;U+041C;1.44404408;0.40915792
4;С;42;И;U+0418;1.47691782;0.40372757
5;Е;1;Е;U+0415;0.13762402;0.87902504
5;Е;2;Б;U+0411;0.48103561;0.67520321
5;Е;3;В;U+0412;0.69080019;0.59143594
5;Е;4;С;U+0421;0.73025239;0.57795037
5;Е;5;Г;U+0413;0.75747821;0.56899710
5;Е;6;Ь;U+042C;0.79853369;0.55600849
5;Е;7;Р;U+0420;0.80209585;0.55490944
5;Е;8;Ё;U+0401;0.81072217;0.55226584
5;Е;9;О;U+041E;0.93233354;0.51750900
5;Е;10;Һ;U+04BA;1.00393799;0.49901744
5;Е;11;Ы;U+042B;1.00446516;0.49888620
5;Е;12;Ө;U+04E8;1.01434502;0.49643928
5;Е;13;П;U+041F;1.01719207;0.49573861
5;Е;14;Қ;U+049A;1.03146333;0.49225599
5;Е;15;Э;U+042D;1.04021977;0.49014327
5;Е;16;Ә;U+04D8;1.04089808;0.48998037
5;Е;17;Н;U+041D;1.08391761;0.47986542
5;Е;18;З;U+0417;1.09476699;0.47738006
5;Е;19;Ю;U+042E;1.10389193;0.47530958
5;Е;20;Ғ;U+0492;1.14599526;0.46598425
5;Е;21;Ш;U+0428;1.15961094;0.46304637
5;Е;22;У;U+0423;1.17196825;0.46041189
5;Е;23;Я;U+042F;1.18488386;0.45769023
5;Е;24;Д;U+0414;1.18527393;0.45760853
5;Е;25;Ц;U+0426;1.19294691;0.45600739
5;Е;26;Ъ;U+042A;1.20001427;0.45454251
5;Е;27;І;U+0406;1.24884438;0.44467283
5;Е;28;Ң;U+04A2;1.25126815;0.44419409
5;Е;29;К;U+041A;1.27446245;0.43966433
5;Е;30;Щ;U+0429;1.27632545;0.43930449
5;Е;31;Ч;U+0427;1.28909867;0.43685316
5;Е;32;Ү;U+04AE;1.28915298;0.43684280
